"Famille";"Catégories";"Nom";"Description";"Prix";"Poids";"NT";"Fabricant";"Compétences / Attributs";"Bonus";"Niv Max";"Nation";"Dommage";"Choc";"Portée";"FOR";"Init";"Mode de tir";"Mun.(Coût)";"CAL.";"DIS (M.Noir)";"Compétence associée";"Protection";"Choc*";"Localisations";"Catégorie de malus";"Contenance";"Etanchéité";"Armes eligible";"Effets Munitions"
"Armes";"Arme à énergie";"Canon à neutron";"L’arme à énergie la plus répandue sous les mers. Ce modèle est celui d’Arsenal. Armes lourdes de tir : Ces armes nécessitent l’utilisation d’un trépied ou d’un harnais équipé d’un système hydraulique supportant une grande partie du poids de l’arme. Dans le cas contraire, la Force requise est augmentée de +7. A des niveaux technologiques élevés, certaines de ces armes peuvent devenir des armes plus légères et même des armes d’épaule normales";21300;"25 kg";"IV";"Arsenal";;;;"Union Med.";"4D10+4 (H)";;"3/15/30/60 (90)";13;-3;"RC";"40(80)";"GP-C4";"-5(1)";"Armes Lourdes";;;;;;;;
"Armes";"Arme à énergie";"Canon à particules";"Canon à particules tirant de puissants faisceaux d’énergie. Armes lourdes de tir : Ces armes nécessitent l’utilisation d’un trépied ou d’un harnais équipé d’un système hydraulique supportant une grande partie du poids de l’arme. Dans le cas contraire, la Force requise est augmentée de +7. A des niveaux technologiques élevés, certaines de ces armes peuvent devenir des armes plus légères et même des armes d’épaule normales";29200;"23 kg";"IV";"Gladius";;;;"Culte du Trident";"5D10+2 (H)";;"2/10/20/40 (60)";14;;"CC";-160;"GP-C3";"-5(1)";"Armes Lourdes";;;;;;;;
"Armes";"Arme à énergie";"Canon foudre";"Cette arme est inutilisable sous l’eau. Elle génère un arc d’énergie extrêmement puissant infligeant d’importants dégâts. Armes massives nécessitant obligatoirement l’utilisation d’un support comme un trépied. On ne peut donc pas les utiliser avec un harnais. A des niveaux
technologiques élevés, certaines de ces armes peuvent devenir des armes plus légères";101100;"62 kg";"V";"Tempest";;;;"Ligue rouge";"5D10+5 (H)";;"1/3/6/12 (18)";18;;"CC";-250;"GP-B3";"15(-15)";"Armes embarquées/Artillerie";;;;;;;;
"Armes";"Arme à énergie";"Désintégrateur";"S’il est une arme redoutable, c’est bien le désintégrateur : les dégâts qu’il inflige sont permanents. Les dégâts infligés aux créatures vivantes peuvent être soignés (sauf reconstruction spécifique), mais les objets sont irrémédiablement endommagés. Armes massives nécessitant obligatoirement l’utilisation d’un support comme un trépied. On ne peut donc pas les utiliser avec un harnais. A des niveaux
technologiques élevés, certaines de ces armes peuvent devenir des armes plus légères";68200;"46 kg";"V";"Généticiens";;;;"Généticiens";"4D10 (H)/2D10(V-)";;"1/2/4/8 (12)";16;;"CC";"20(60)";"GP-C1";"Introuvable";"Armes embarquées/Artillerie";;;;;;;;
"Armes";"Arme à énergie";"Faisceau de saturation";"Le faisceau de saturation libère un rayon d’énergie persistant. Ce type de faisceau a donc une plus grande probabilité de toucher un point faible. En cas de critique, l’armure adverse est réduite de moitié. Armes massives nécessitant obligatoirement l’utilisation d’un support comme un trépied. On ne peut donc pas les utiliser avec un harnais. A des niveaux
technologiques élevés, certaines de ces armes peuvent devenir des armes plus légères";66100;"50 kg";"IV";"Généticiens";;;;"Généticiens";"4D10+3 (H)";;"1/5/10/20 (30)";17;-1;"CC";"8(30)";"GP-C2";"-15(-15)";"Armes embarquées/Artillerie";;;;;;;;
"Armes";"Arme à énergie";"Faisceau Pulsar";"Le faisceau Pulsar est une arme à pulsion. Elle tire des dizaines de rafales sur une zone. L’arme réduit de moitié le blindage adverse et a 2 chances sur 10 (1-2 sur 1D10) de diviser par 10 le blindage. Armes massives nécessitant obligatoirement l’utilisation d’un support comme un trépied. On ne peut donc pas les utiliser avec un harnais. A des niveaux
technologiques élevés, certaines de ces armes peuvent devenir des armes plus légères";29000;"41 kg";"V";"Généticiens";;;;"Généticiens";"4D10+3 (H)";;"1/7/14/28 (42)";16;;"CC";"6(10)";"GP-C1";"-15(-15)";"Armes embarquées/Artillerie";;;;;;;;
"Armes";"Arme à énergie";"FAM (Faisceau AM)";"En plus d’infliger des dommages, le faisceau anti-moléculaire peut faire éclater les particules de matière : probabilité de détruire un certain nombre de points de blindage/protection. Armes massives nécessitant obligatoirement l’utilisation d’un support comme un trépied. On ne peut donc pas les utiliser avec un harnais. A des niveaux
technologiques élevés, certaines de ces armes peuvent devenir des armes plus légères";49300;"37 kg";"IV";"Arsenal";;;;"Union Med.";"4D10+4 (H)";;"1/4/8/16 (24)";14;-1;"CC";"20(500)";"GP-C1";"-5(1)";"Armes embarquées/Artillerie";;;;;;;;
"Armes";"Arme à énergie";"GND 23";"Fusil d’assaut à neutrons utilisé par les troupes hégémoniennes. Il est doté d’une nouvelle technologie permettant de n’utiliser qu’un seul supercapaciteur et un pack d’énergie plus léger.";19000;"15 kg";"IV";"Hadès";;;;"Hégémonie";"4D10+3 (H)";;"4/23/46/92 (140)";12;-3;"CC";"10(20)";"GP-D3";"-5(1)";"Fusil/Armes d'épaules";;;;;;;;
"Armes";"Arme à énergie";"MFM (Multi-FAV mod I)";"Multi-pulseur à faisceaux variables : module le tir pour libérer soit un seul puissant rayon d’énergie, soit une multitude de rayons moins puissants mais plus précis. Potentiel ajustable. Armes lourdes de tir : Ces armes nécessitent l’utilisation d’un trépied ou d’un harnais équipé d’un système hydraulique supportant une grande partie du poids de l’arme. Dans le cas contraire, la Force requise est augmentée de +7. A des niveaux technologiques élevés, certaines de ces armes peuvent devenir des armes plus légères et même des armes d’épaule normales";27100;"19 kg";"V";"Généticiens";;;;"Généticiens";"Variables";;"1/2/4/8 (12)";14;-2;"CC";"40(90)";"GP-B4";"-15(-15)";"Armes Lourdes";;;;;;;;
"Armes";"Arme à énergie";"Oryx II";"Fusil d’assaut à plasma utilisable sous l’eau et à l’air libre. Tire une sphère de plasma ; dégâts réduits de 1D10 par portée (5D10 courte puis 4D10, puis 3D10, etc.).";42000;"18 kg";"IV";"PlasmaTech";;;;"Hégémonie";"5D10 (H)";;"3/15/30/60 (90)";14;-3;"CC";"12(30)";"GP-D2";"-5(1)";"Fusil/Armes d'épaules";;;;;;;;
"Armes";"Arme à énergie";"Oxyma";"Redoutable pistolet à énergie à intensité réglable, utilisé exclusivement par la Garde Patriarche. Batterie spéciale (techno généticienne). Inutilisable sous l’eau.";"-";"1,1 kg";"VI";"Inconnu";;;;"Hégémonie";"Variables";;"4/20/40/80 (120)";"-";"var.";"CC";"6(50)";"GP-B2";"-15(-10)";"Armes de poing";;;;;;;;
"Armes";"Arme à énergie";"TMP I";"Fusil pulseur : tire une sphère d’énergie pouvant infliger douleur (nerfs) ou dommages physiques. Le mode douleur inflige des pénalités ; protections antichoc/physiques s’appliquent selon le mode.";24600;"6 kg";"IV";"PlasmaTech";;;;"Hégémonie";"3D10+3";"1D10";"2/10/20/40 (60)";12;-3;"CC";"24(30)";"GP-B3";"5(1)";"Fusil/Armes d'épaules";;;;;;;;
"Armes";"Arme à énergie";"TMP II";"Version lourde du TMP I. Les dommages de douleur sont de 1D10+5 et les dommages normaux de 4D10.";39600;"12 kg";"IV";"PlasmaTech";;;;"Hégémonie";"4D10";"1D10+5";"3/15/30/60 (90)";13;-4;"CC";"12(50)";"GP-B3";"5(1)";"Arme lourde
Tir automatiques *";;;;;;;;
"Armes";"Armes de poing";"Flex";"Ce petit pistolet inflige une décharge électrique particulièrement puissante mais sur une très courte portée. La petite batterie permet de tirer 24 coups. L’arme inflige +1D10 en dommages de choc.";4500;"0,5 kg";"III";"Gladius";;;;"Culte du trident";;"1D10";"1/3/6/12 (18)";"-";;"CC";"24 (100)";"GP-B3";"-5 (1)";"Armes de poing";;;;;;;;
"Armes";"Armes sous-marines à projectiles";"Lanceur de poignet Hybri 500";"Ces armes particulières, rendues célèbres par les techno-hybrides hégémoniens, se portent au poignet et couvrent une partie de l’avant-bras. Elles sont équipées de micro-projectiles, ressemblant à de tout petits missiles. Elles sont conçues pour être utilisées sous l’eau et à l’air libre, à courte portée.";3500;"1 kg";"III";"Vortex";;;;"Hégémonie";"3D10";;"1/2/5/10 (20)";"-";-3;"CC";"12 (2 500)";"-";"-5 (1)";"Armes sous-marines";;;;;;;;
"Armes";"Armes de poing";"Faucheur III";"C’est l’arme standard de l’armée hégémonienne. C’est un pistolet lourd particulièrement puissant mais à très faible cadence. Cette arme est inutilisable sous l’eau. Elle utilise des balles de 11,43 mm.";2800;"1,8 kg";"II";"Hadès";;;;"Hégémonie";"3D10+1";;"4/20/40/80 (120)";15;;"CC";"8 (90)";"11,43 mm";"5 (10)";"Armes de poing";;;;;;;;
"Armes";"Arme d'épaule";"Sniper AV";"C’est une arme anti-véhicule tirant des balles perforantes à sabot détachable (SLAP) ayant une pénétration de 29(H)/3(V)-1(V+).";12000;"14 kg";"II";"Meta";;;;"Union Médit.";"4D10+3(H)/1D6x2(V)";;"70/300/600/1 200 (1 800)";15;;"CC";"5 (1200)";"12,7 mm";"1(5)";"Tir de précision *";;;;;;;;
"Armes";"Arme lourde";"F67";"Mitrailleuse lourde hégémonienne.";16000;"38 kg";"II";"Vortex";;;;"Hégémonie";"5D10+1 (H)";;"27/135/270/540 (810)";14;;"RL";"80 (1010)";"12,7 mm";"5(10)";"Arme lourde";;;;;;;;
"Armes";"Arme lourde";"Gatling micro Cyclone";"Canon rotatif très répandu. Comme les Gatling, le tir “balaye” une zone en cône (?3 m de diamètre à la zone visée).";32000;"45 kg";"II";"Karak Ind.";;;;"Alliance Polaire";"5D10+1 (H)";;"6/30/60/120 (180)";14;-1;"RL";"100 (1300)";"12,7 mm";"-5(1)";"Arme lourde";;;;;;;;
"Armes";"Arme lourde";"Ningram";"Mitrailleuse lourde de la Ligue Rouge.";18000;"21 kg";"II";"Véga";;;;"Ligue Rouge";"5D10+1 (H)";;"50/250/500/1000 (1500)";12;;"RL";"80 (1010)";"12,7 mm";"5(10)";"Arme lourde";;;;;;;;
"Armes";"Armes de poing";"MK 56";"C’est le pistolet lourd standard des Veilleurs.";2200;"2,2 kg";"II";"Gladius";;;;"Culte du trident";"3D10+2";;"7/35/70/140 (210)";14;;"CC";"8 (90)";"12,7 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Armes à supercavitation";"Gatling SC Kora";"Gatling à supercavitation directement issue des systèmes de défense sous-marins phalanx. Pénétration : 49 (H)/5 (V-)/2 (V+).";24000;"27 kg";"III";"Karak Ind.";;;;"Alliance Polaire";"4D10+3/1D6-2 (V-)";;"7/35/70/140 (210)";15;-3;"RL";"40 (2500)";"12,7 mmS";"-5 (1)";"Tir automatiques *";;;;;;;;
"Armes";"Arme lourde";"Thor";"Fusil de précision anti-matériel tirant des obus-flèches (APFSDS) à très forte pénétration, conçu pour l’anti-véhicule/anti-cible dure.";22000;"18 kg";"II";"Meta";;;;"Union médit.";"4D10+1 (H) / 1D6-2 (V-)";;"100/500/1000/2000 (3000)";16;;"CC";"5 (4200)";"15,2 mm";"-5(1)";"Arme lourde";;;;;;;;
"Armes";"Arme lourde";"NeoA";"Canon NT IV à tir rapide tirant des obus de 15,2 mm ; peut utiliser des projectiles type APFSDS (très forte pénétration) ou explosifs.";36000;"42 kg";"IV";"Gladius";;;;"Culte du Trident";"6D10 (H) / 1D6-1 (V-)";;"60/300/600/1200 (1 800)";14;;"CC/RC/RL";"12 (1800)";"15,2 mm";"-5(1)";"Arme lourde
Tir automatiques *";;;;;;;;
"Armes";"Arme lourde";"Telen II";"Canon à tir rapide NT III utilisant des obus de 17 mm ; performances proches d’un 20 mm selon les munitions, avec options perforantes (APFSDS) ou explosives.";28000;"46 kg";"III";"Vortex";;;;"Hégémonie";"6D10 (H) / 1D6-1 (V-)";;"60/300/600/1200 (1800)";14;;"CC/RC/RL";"8 (1360)";"17 mm";"-5(1)";"Arme lourde
Tir automatiques *";;;;;;;;
"Armes";"Armes de poing";"Prion";"Mini pistolet de la nouvelle firme Prion.";950;"0,2 kg";"II";"Prion";;;;"Indépendant";"2D10";;"1/3/6/12 (18)";"-";;"CC";"6 (16)";"2,7 mm";"10 (15)";"Armes de poing";;;;;;;;
"Armes";"Arme lourde";"Oxi4";"Canon à tir rapide : peut tirer des projectiles APFSDS (pénétration très élevée) ou des projectiles explosifs.";24000;"54 kg";"II";"Meta";;;;"Union médit.";"6D10 (H) / 1D6-1 (V-)";;"50/250/500/1000 (1500)";15;;"CC/RC/RL";"6 (1200)";"20 mm";"-5(1)";"Arme lourde
Tir automatiques *";;;;;;;;
