"Aptitudes physiques_";"Accrobatie/Équilibre *";;"(-3)";"COO/PER";;"Compétence limitative pour : toute action physique comportant une manœuvre acrobatique ou demandant de garder son équilibre.

Cette Compétence permet d’effectuer des figures acrobatiques ou des mouvements de gymnastique (hors du milieu aquatique). On peut ainsi l’utiliser pour passer au travers d’un quadrillage laser, pour se désengager d’un combat, pour effectuer une attaque acrobatique, etc. La Difficulté du mouvement dépend de sa complexité et des risques qu’il fait prendre au personnage. Acrobatie/Équilibre peut également être utilisée lorsque le personnage doit garder son équilibre (ou, en tant que Compétence limitative, lorsqu’il doit agir en équilibre précaire). Enfin, cette Compétence est utile en cas de chute, permettant d’une part d’effectuer des roulades (et de se relever dans le même mouvement) et d’autre part de contrôler une chute et de réduire les dommages infligés par celle-ci (voir le chapitre État de santé, section Autres sources de dommages, page 242). Pour toutes ces actions, l’encombrement dû à l’équipement porté est une difficulté qu’il ne faut pas négliger (voir le chapitre Équipement, section Encombrement, page 312).

Note : dans le milieu sous-marin ou en apesanteur, Acrobatie/ Équilibre est remplacée soit par Manœuvre sous-marine ou Manœuvres 0G, soit par la Compétence de Manœuvre d’armure appropriée, dans le cas où une armure mécanisée est utilisée (voir la description de ces Compétences plus bas)."
"Aptitudes physiques_";"Athlétisme";;;"FOR/COO";;"Cette Compétence regroupe toutes les actions physiques : la course, le saut, la natation… Elle permet de connaître la distance moyenne parcourue par un personnage qui se déplace à sa vitesse maximale, au sol et dans l’eau (voir le chapitre Combat, section Déplacements et mouvements, page 220). Si un joueur veut que son personnage tente de dépasser sa vitesse de déplacement moyenne, il peut effectuer un Test aléatoire d’Athlétisme : le modificateur de réussite ou d’échec indique alors le nombre de mètres que le personnage gagne (ou perd), par rapport à sa valeur moyenne. La Difficulté du Test peut être modifiée par les conditions du terrain ou les conditions naturelles (par exemple l’intensité des courants, dans le cas de la natation). Une Catastrophe peut indiquer que le personnage risque de se blesser (en chutant, notamment : voir État de santé, section Autres sources de dommages, page 242) ou s’est effectivement blessé (un claquage musculaire par exemple, qui inflige automatiquement une Blessure moyenne)."
"Aptitudes physiques_";"Endurance *";;;"FOR/COO";;"Compétence limitative pour : toute action fatigante destinée à durer dans le temps. Il peut aussi bien s’agir d’efforts physiques que mentaux. Si le MJ utilise les règles avancées de Fatigue (voir État de santé, page 234), le caractère limitatif de cette Compétence n’est plus utile (Endurance est directement utilisée dans ces règles).

Cette Compétence représente la résistance du personnage à l’effort et à la Fatigue, tant physique que mentale."
"Aptitudes physiques_";"Escalade";;;"FOR/COO";;"Cette Compétence permet d’escalader parois et murs. Elle permet également de savoir utiliser le matériel d’escalade, de descendre en rappel, etc. Sur une Catastrophe, le personnage tombe…"
"Aptitudes physiques_";"Manoeuvres 0G *";;;"COO/ADA";;"Compétence limitative pour : toutes les actions physiques nécessitant une certaine coordination physique effectuées en apesanteur.

Cette Compétence permet d’évoluer en apesanteur : se retourner rapidement, effectuer un mouvement difficile, atteindre l’endroit où on veut aller, se déplacer dans un milieu complexe (dédale, épave, etc.). Elle remplace complètement la Compétence Acrobatie/Équilibre en milieu spatial et limite également le niveau des Compétences nécessitant une certaine coordination physique (les Compétences de combat, notamment).

Note : les personnages utilisant une armure mécanisée doivent employer la Compétence de Manœuvre d’armure spatiale (voir description plus bas), au lieu de celle-ci."
"Aptitudes physiques_";"Manoeuvres sous-marines *";;;"FOR/COO";;"Compétence limitative pour : certaines actions physiques sous l’eau.

Cette Compétence permet d’évoluer sous l’eau : se retourner rapidement, effectuer un mouvement difficile, atteindre l’endroit où l’on veut aller, se déplacer dans un milieu complexe (dédale, épave, etc.). Elle remplace complètement la Compétence Acrobatie/Équilibre en milieu sous-marin et limite également le niveau des Compétences nécessitant une certaine coordination physique (les Compétences de combat, notamment). Le caractère limitatif de cette Compétence ne s’applique ni aux créatures sous-marines, ni aux hybrides, parfaitement adaptés au milieu aquatique.

Note : les personnages utilisant une armure mécanisée doivent employer la Compétence de Manœuvre d’armure sous-marine (voir description plus bas), au lieu de celle-ci."
"Aptitudes physiques_";"Respiration FOE";;"(-3)";"CON/VOL";;"Cette Compétence permet de maîtriser les techniques de respiration de fluide ou de toute autre substance organique ou artificielle. Chaque fois qu’un PJ respire du fluide, il doit effectuer un Test de Respiration FOE, dont la Difficulté dépend du produit utilisé (le néo-fluide, par exemple, est plus difficile à respirer que l’hyperfluide, voir le chapitre Équipement, page 272). S’il échoue, il panique et ne peut rien faire d’autre que tenter de retirer son casque. Si on l’en empêche, il peut recommencer ce Test à chaque Tour de combat, avec un bonus de +1 (cumulatif) à chaque tentative, jusqu’à ce qu’il réussisse à respirer calmement.

Respirer un fluide n’est pas une chose naturelle et l’organisme a besoin de temps pour s’y habituer. C’est pour cette raison que de nombreux plongeurs qui ne sont pas habitués au fluide ont besoin d’un temps d’adaptation et attendent un bon moment avant de plonger. Ainsi, tout personnage respirant un hyper-fluide ou un néo-fluide subit une pénalité de -4 ou -10 respectivement à tous ses Tests pendant 2D6 minutes. Ce malus peut être réduit par le modificateur de réussite obtenu lors du Test grâce auquel le personnage a réussi à respirer sans paniquer.

La fatigue est enfin un effet commun à tous les fluides, car ils demandent plus d’énergie lors de la respiration. L’organisme se fatigue donc très vite sous l’effet des fluides. Toutes les heures, en cas d’activité normale, le personnage doit donc effectuer un Test de résistance à la Fatigue, en utilisant Respiration FOE, limité par le niveau de la Compétence Endurance. Lors des activités intenses (le combat par exemple), les Tests de Fatigue doivent être effectués tous les 3 Tours de combat. Note : si le MJ n’utilise pas les règles avancées de Fatigue, considérer que le personnage souffre d’un malus cumulatif de -1 à tous ses Tests d’action physique, pour chaque demi-heure qui passe ou tous les 2 Tours de combat en cas d’activité intense, jusqu’à ce qu’il puisse se reposer.

Même en utilisant du fluide, l’organisme humain n’est pas conçu pour résister aux pressions incroyables des profondeurs. Un plongeur est donc limité aux profondeurs suivantes :
• Néo-fluide : (niveau global de Respiration FOE) x 500 m.
• Hyper-fluide : (niveau global de Respiration FOE) x 1000 m. De plus, rester dans un milieu liquide trop longtemps est dangereux. La peau risque de se desquamer et le système nerveux peut être attaqué. Un plongeur utilisant du fluide est donc limité aux temps de plongée suivants :
• Néo-fluide : (niveau global de Respiration FOE/2) + 8 heures.
• Hyper-fluide : niveau global de Respiration FOE + 12 heures."
"Combat (contact)_";"Armes Lourdes (contact)";;;"FOR/FOR";;"Cette Compétence couvre l’usage des armes lourdes comme les découpe-carlingues, les perceuses de combat, etc. Si le personnage n’est pas stable (appuyé sur quelque chose, équipé d’un harnais spécial, etc.), le niveau de la Compétence doit être divisé par deux."
"Combat (contact)_";"Armes Spéciales (contact)";"Force/Coordination";"(X)";"FOR/COO";;"Cette Compétence permet d’utiliser une arme au maniement bien spécifique, comme les fouets, les chaînes, les lassos, les filets, les grappins, etc. Chaque arme spéciale fait l’objet d’une Compétence spécifique. En fonction de la rareté de l’arme ou de son côté exotique, cette Compétence peut être considérée comme réservée (niveau de maîtrise de départ : X)."
"Combat (contact)_";"Armes Spéciales (contact)";"Coordination/Coordination";"(X)";"COO/COO";;"Cette Compétence permet d’utiliser une arme au maniement bien spécifique, comme les fouets, les chaînes, les lassos, les filets, les grappins, etc. Chaque arme spéciale fait l’objet d’une Compétence spécifique. En fonction de la rareté de l’arme ou de son côté exotique, cette Compétence peut être considérée comme réservée (niveau de maîtrise de départ : X)."
"Combat (contact)_";"Arts martiaux";"Lutte";"(-3)";"COO/ADA";;"Compétence limitative pour : les autres Compétences de combat au contact.

Cette Compétence recouvre toutes les techniques spéciales de combat, liées à un entraînement et des manœuvres particulières. Chaque technique fait l’objet d’une Compétence :
• Lutte (-3) : combat au corps à corps, à base de clés, d’immobilisations, d’étranglements, de projections, etc. Cette forme de combat est très utile lorsque les deux adversaires sont amenés à combattre au sol ou… sous l’eau."
"Combat (contact)_";"Arts martiaux";"Techniques défensives";"(-3)";"COO/ADA";;"Compétence limitative pour : les autres Compétences de combat au contact.

Cette Compétence recouvre toutes les techniques spéciales de combat, liées à un entraînement et des manœuvres particulières. Chaque technique fait l’objet d’une Compétence :
• Techniques défensives (-3) : utilisation des techniques spécifiques à la défense, ainsi que de toutes les manœuvres de self-défense (par exemple les dégagements contre les saisies ou les étranglements)."
"Combat (contact)_";"Arts martiaux";"Techniques offensives";"(-3)";"COO/ADA";;"Compétence limitative pour : les autres Compétences de combat au contact.

Cette Compétence recouvre toutes les techniques spéciales de combat, liées à un entraînement et des manœuvres particulières. Chaque technique fait l’objet d’une Compétence :
• Techniques offensives (-3) : techniques d’attaque, et notamment frappes (avec toutes les parties du corps : mains, coudes, pieds, genoux, tibias, tête…). L’utilisation réussie de cette Compétence permet d’augmenter ses dégâts ou de délivrer des coups spéciaux : étourdir, assommer…"
"Combat (contact)_";"Combat armé";;;"FOR/COO";;"Cette Compétence permet d’utiliser des armes simples, maniées à une ou deux mains, telle que les couteaux et les dagues, les matraques et les bâtons de combat, les sabres et les épées, etc. L’utilisation d’armes plus exotiques est couverte par la Compétence Armes spéciales (contact)."
"Combat (contact)_";"Combat à mains nues";;;"FOR/COO";;"Cette Compétence permet de se battre et de lutter à mains nues. Elle ne couvre que les techniques d’attaque et de défense de base, les techniques plus complexes étant gérées par la Compétence Arts martiaux."
